"","stimulus","h_index","modal_response","proportion_response","emotional_score","humanmade_score","outdoors_score","shoebox_score","memory_hits","dprime"
"1","Abacus.jpg",2.60397572661071,"game",0.294117647058824,-0.122253275538023,1,0,0.666666666666667,0.777777777777778,2.00657646562971
"2","Accordion.jpg",2.38038494061158,"accordion",0.371428571428571,-0.457996436754082,1,0,0.833333333333333,0.857142857142857,2.32971570050095
"3","Acorn.jpg",1.19299935660606,"acorn",0.769230769230769,-0.414823281617974,0.111111111111111,0.857142857142857,0,0.793103448275862,1.99222361409549
"4","AirCompressor.jpg",2.7527152789797,"generator",0.333333333333333,-0.171358043945874,1,0.666666666666667,0.75,0.730769230769231,1.95031884071491
"5","Airplane_Fighter.jpg",2.96938941952916,"airplane",0.277777777777778,0.289169243733144,1,1,0.857142857142857,0.615384615384615,1.46836802418728
"6","Airplane_Small.jpg",1.50325833477565,"plane",0.444444444444444,-0.173583135875464,1,1,1,0.678571428571429,1.79888548757612
"7","AirPump.jpg",2.52262030953102,"air pump",0.388888888888889,0.281823587321573,1,0.714285714285714,0.555555555555556,0.5,1.40507156030963
"8","AirTank.jpg",4.26393342948563,"air tank",0.117647058823529,-0.140942045061085,1,0.285714285714286,0.75,0.857142857142857,1.77387308671823
"9","AirVent.jpg",2.50325833477565,"vent",0.444444444444444,-0.605173752690661,1,0.142857142857143,0.5,0.846153846153846,2.82281932352539
"10","AlarmSystem.jpg",3.22109725005796,"thermostat",0.315789473684211,-0.972412522350978,1,0.166666666666667,0.25,0.708333333333333,1.72350907476419
"11","AlcoholBar.jpg",2.96706475397547,"bar",0.388888888888889,-0.586394899529231,1,0.142857142857143,0.857142857142857,0.8,2.70435310099457
"12","Alfalfa.jpg",3.12238213792289,"sprouts",0.411764705882353,-0.393194937547327,0.111111111111111,0.5,0.25,0.981481481481482,3.88809865677102
"13","AllTerrain.jpg",3.3502090290999,"atv",0.222222222222222,0.495657599060096,1,0.875,1,0.652173913043478,1.63306305003279
"14","Almond.jpg",1.52882891829394,"almond",0.617647058823529,-0.101030955406846,0.222222222222222,0.166666666666667,0.142857142857143,0.869565217391304,1.79882798176472
"15","Altar.jpg",2.93299930663729,"tables",0.333333333333333,-0.235889613209504,1,0,0.857142857142857,0.740740740740741,2.21035722063778
"16","AmberWithMosquito.jpg",3.57246945877014,"amber",0.176470588235294,1.05036803456388,0.111111111111111,0.777777777777778,0,0.962962962962963,3.57231112252215
"17","Ambulance.jpg",0.614369445886757,"ambulance",0.888888888888889,0.32210980009092,1,1,1,0.724137931034483,1.40739633483319
"18","Amp.jpg",2.74974063225911,"amp",0.333333333333333,0.297130136777791,1,0.125,1,0.666666666666667,1.19543697308184
"19","AmpMeter.jpg",4.0588138903312,"voltmeter",0.111111111111111,-0.183837346591673,1,0.5,0,0.979166666666667,3.25747448054874
"20","AngleGrinder.jpg",3.305645006353,"drill",0.230769230769231,-0.579623881226027,1,0.625,0.625,0.535714285714286,1.05706391717746
"21","AnsweringMachine.jpg",3.30272275286249,"thermostat",0.277777777777778,-0.398098721690927,1,0.25,0.222222222222222,0.695652173913043,2.28076125239004
"22","Apple_Candy.jpg",2.53414684380524,"candy apple",0.411764705882353,0.759027840106083,0.7,0,0,0.884615384615385,2.68191956170822
"23","Apple_RedAndGreen.jpg",0.309543429150325,"apple",0.944444444444444,0.40359767859107,0.111111111111111,0.375,0,0.857142857142857,2.24255731594423
"24","Aquarium.jpg",1.89013709801616,"aquarium",0.441176470588235,0.259242516892959,0.875,0.142857142857143,1,0.791666666666667,2.63086339434997
"25","Arch.jpg",2.4609049321678,"archway",0.411764705882353,0.198506968016064,1,0.875,1,0.851851851851852,2.24278849717952
"26","Arch_Triomphe.jpg",3.18136632889146,"arch",0.315789473684211,-0.305763147237996,1,0.857142857142857,0.875,0.925925925925926,2.49051238779077
"27","Archery_Arrows.jpg",2.4248356349862,"quiver",0.352941176470588,0.162839977109791,1,0.571428571428571,0.75,0.875,2.61558317306153
"28","Archery_ArrowsBows.jpg",2.79478854110481,"bow and arrow",0.263157894736842,0.162607182342415,1,0.875,1,0.807692307692308,1.63413344707527
"29","Arm.jpg",1.05827704322633,"arm",0.789473684210526,-0.487581912182575,0,0,0.833333333333333,0.978260869565217,3.85300083639906
"30","Armchair.jpg",1.04695590669641,"chair",0.828571428571429,1.16726529699985,1,0,1,0.814814814814815,1.71301664091299
"31","Artichoke.jpg",2.77424330291727,"artichoke",0.421052631578947,-0.334107582047339,0,0.7,0.142857142857143,0.84,2.45969167589528
"32","Ashtray_Cigarettes.jpg",2.01915346132504,"ashtray",0.411764705882353,0.788835960286428,1,0.5,0.125,0.961538461538462,3.19490191079155
"33","Ashtray_Empty.jpg",1.82404605002199,"ashtray",0.578947368421053,-0.529618875626919,1,0.166666666666667,0.166666666666667,0.782608695652174,2.33580740611956
"34","Asparagus.jpg",1.44250809719061,"asparagus",0.736842105263158,0.490198873659929,0,0.428571428571429,0.142857142857143,0.88,1.77016532539937
"35","Autocreeper.jpg",4.14266435554885,"dolly",0.105263157894737,-0.196042820271052,1,0.142857142857143,0.5,0.75,1.95604131574068
"36","Avocado.jpg",2.01574043249307,"avocado",0.588235294117647,0.490873622642165,0,0.428571428571429,0,0.962962962962963,2.82258895075487
"37","Awning.jpg",2.69619904981486,"awning",0.411764705882353,-0.417503219559851,1,0.714285714285714,0.875,0.761904761904762,2.17767682507501
"38","Axe.jpg",1.18973191682073,"axe",0.684210526315789,0.0638060688590937,1,0.625,0.833333333333333,0.76,1.57572633612897
