stimulus,memorability,scaled_memory_hits,X,score_emotional,sd_emotional,score_humanmade,sd_humanmade,score_outdoors,sd_outdoors,score_shoebox,sd_shoebox,humanmade_pass,outdoors_pass,shoebox_pass,humanmade_response,outdoors_response,shoebox_response,scaled_emotional,h_index,modal_response,proportion_response,unique,scaled_name
Abacus.jpg,-0.017878829953350366,0.4024041213508872,1187,-0.0474720695864595,0.408625512307567,1,0,0,0,0.333333333333333,0.516397779494322,1,1,0,human-made,indoors,NA,0.534591194968553,2.6039757266107144,game,0.29411764705882354,0,0.6112064036592338
Accordion.jpg,0.06172753284591282,0.7120778477389811,1331,-0.503754381572356,0.305967435174226,1,0,0,0,0.166666666666667,0.408248290463863,1,1,1,human-made,indoors,larger than a shoebox,0.176100628930818,2.3803849406115836,accordion,0.37142857142857144,1,0.5214408233276158
Acorn.jpg,0.01998499013107792,0.5592444190040069,1188,-0.35391710785265,0.578775802816838,0.111111111111111,0.333333333333333,0.857142857142857,0.377964473009227,1,0,1,1,1,natural,outdoors,smaller than a shoebox,0.299599771297885,1.1929993566060644,acorn,0.7692307692307693,0,0.1349342481417953
AirCompressor.jpg,-0.1294456648129621,0.10475100171722954,621,-0.177690260265152,0.728541563424798,1,0,0.666666666666667,0.5,0.142857142857143,0.377964473009227,1,0,1,human-made,NA,larger than a shoebox,0.443682104059463,2.7527152789797045,generator,0.3333333333333333,0,0.6695254431103488
Airplane_Fighter.jpg,-0.16502310896000222,0.06067544361763022,1479,0.37988301069331,0.922176228111688,1,0,1,0,0.142857142857143,0.377964473009227,1,1,1,human-made,outdoors,larger than a shoebox,0.791881074899943,2.969389419529156,airplane,0.2777777777777778,0,0.7558604917095483
Airplane_Small.jpg,-0.17235594963605622,0.052089295935890095,1332,-0.106758621254776,1.10918385198138,1,0,1,0,0,0,1,1,1,human-made,outdoors,larger than a shoebox,0.50485991995426,1.5032583347756456,plane,0.4444444444444444,1,0.21783876500857632
AirPump.jpg,-0.25413042251900675,0.014310246136233544,1480,0.252383769677168,0.664800926419432,1,0,0.714285714285714,0.487950036474267,0.444444444444444,0.52704627669473,1,0,0,human-made,NA,NA,0.727844482561464,2.5226203095310216,air pump,0.3888888888888889,1,0.5763293310463122
AirTank.jpg,0.04041265178066345,0.6405266170578134,1046,-0.156304771268091,0.903318892858108,1,0,0.285714285714286,0.487950036474267,0.25,0.462910049886276,1,0,0,human-made,NA,NA,0.460263007432819,4.2639334294856335,air tank,0.11764705882352941,1,0.9971412235563178
AirVent.jpg,0.03247933142531401,0.6084716657126502,351,-0.951346822043704,0.450673273761759,1,0,0.142857142857143,0.377964473009227,0.5,0.534522483824849,1,1,0,human-made,indoors,NA,0.00571755288736421,2.5032583347756456,vent,0.4444444444444444,1,0.5711835334476844
AlarmSystem.jpg,-0.07585843335643085,0.21293646250715512,752,-0.654193201392629,0.335809990977095,1,0,0.166666666666667,0.408248290463863,0.75,0.462910049886276,1,1,0,human-made,indoors,NA,0.0754716981132075,3.221097250057957,thermostat,0.3157894736842105,0,0.8250428816466552
AlcoholBar.jpg,-0.04076820666682273,0.32054951345163135,1189,-0.568002907949994,0.480617616054999,1,0,0.142857142857143,0.377964473009227,0.142857142857143,0.377964473009227,1,1,1,human-made,indoors,larger than a shoebox,0.127501429388222,2.967064753975466,bar,0.3888888888888889,1,0.7518582046883934
Alfalfa.jpg,0.22251277507475617,0.9988551803091014,1481,-0.476150698752512,0.784533114420368,0.111111111111111,0.333333333333333,0.5,0.534522483824849,0.75,0.462910049886276,1,0,0,natural,NA,NA,0.200114351057747,3.1223821379228864,sprouts,0.4117647058823529,1,0.7970268724985706
AllTerrain.jpg,-0.16080807025080449,0.0658271322266743,352,0.612866381908355,1.03619050163438,1,0,0.875,0.353553390593274,0,0,1,1,1,human-made,outdoors,larger than a shoebox,0.860491709548313,3.350209029099897,atv,0.2222222222222222,0,0.8564894225271584
Almond.jpg,0.07089029064169648,0.7464224384659416,1333,-0.0646918774386857,1.26784861678291,0.222222222222222,0.440958551844098,0.166666666666667,0.408248290463863,0.857142857142857,0.377964473009227,0,1,1,NA,indoors,smaller than a shoebox,0.526586620926244,1.5288289182939443,almond,0.6176470588235294,1,0.22298456260720412
Altar.jpg,-0.07229899543419852,0.22495706926159129,1482,-0.225871726001736,0.955830799676907,1,0,0,0,0.142857142857143,0.377964473009227,1,1,1,human-made,indoors,larger than a shoebox,0.400228702115495,2.9329993066372895,tables,0.3333333333333333,0,0.7375643224699828
AmberWithMosquito.jpg,0.13933084744551977,0.931310818546079,901,0.957429309341313,1.02754570971783,0.111111111111111,0.333333333333333,0.777777777777778,0.440958551844098,1,0,1,0,1,natural,NA,smaller than a shoebox,0.932532875929102,3.572469458770135,amber,0.17647058823529413,1,0.9205260148656375
Ambulance.jpg,-0.05912151338544477,0.2593016599885518,622,0.300939604751126,0.976835684898062,1,0,1,0,0,0,1,1,1,human-made,outdoors,larger than a shoebox,0.755860491709548,0.6143694458867568,ambulance,0.8888888888888888,1,0.040022870211549454
Amp.jpg,-0.12554859443934124,0.11219232970807098,1483,0.343437137546518,0.948393588572541,1,0,0.125,0.353553390593274,0,0,1,1,1,human-made,indoors,larger than a shoebox,0.773584905660377,2.749740632259112,amp,0.3333333333333333,1,0.6689536878216124
AmpMeter.jpg,0.18170642090052977,0.9805380652547224,1484,-0.232844123957971,0.802238711093155,1,0,0.5,0.534522483824849,1,0,1,0,1,human-made,NA,smaller than a shoebox,0.391080617495712,4.058813890331201,voltmeter,0.1111111111111111,1,0.989136649514008
