stimulus,h_index,modal_response,proportion_response,unique,scaled_name
Abacus.jpg,1.608700165519891,abacus,0.5294117647058824,1,0.5408805031446541
Accordion.jpg,0.8090910778519506,accordion,0.8571428571428571,1,0.8176100628930818
Acorn.jpg,0.40770577231374733,acorn,0.9347826086956522,0,0.9216695254431103
AirCompressor.jpg,2.375814583693911,generator,0.5,0,0.2721555174385363
Airplane_Commercial.jpg,1.6253785496437985,airplane,0.6190476190476191,1,0.5351629502572899
Airplane_Fighter.jpg,2.259141984247902,plane,0.36363636363636365,0,0.3110348770726129
Airplane_Small.jpg,1.3158243335257076,plane,0.6153846153846154,0,0.649514008004574
AirPump.jpg,2.3843641434371503,pump,0.36363636363636365,1,0.2704402515723271
AirTank.jpg,3.8638263900908156,canister,0.16666666666666666,1,0.0062893081761006275
AirVent.jpg,1.902174814211728,vent,0.6153846153846154,1,0.4391080617495712
AlarmSystem.jpg,2.897849384264468,thermostat,0.3684210526315789,0,0.12807318467695827
AlcoholBar.jpg,2.702904337188607,bar,0.3888888888888889,1,0.17495711835334482
Alfalfa.jpg,2.3427648376739314,sprouts,0.5833333333333334,1,0.28359062321326467
AllTerrain.jpg,2.969389419529156,four wheeler,0.2777777777777778,1,0.11092052601486568
Almond.jpg,1.5288289182939443,almond,0.6176470588235294,1,0.5706117781589479
Altar.jpg,1.96577067413792,tables,0.5416666666666666,0,0.4162378502001144
AmberWithMosquito.jpg,3.2639334294856335,amber,0.23529411764705882,1,0.05774728416237851
Ambulance.jpg,0.5032583347756456,ambulance,0.8888888888888888,1,0.9033733562035449
Amp.jpg,2.69164903659921,amp,0.2903225806451613,1,0.1783876500857633
AmpMeter.jpg,3.484183719779189,voltmeter,0.2,1,0.029159519725557415
AngleGrinder.jpg,2.7853087307361735,drill,0.34285714285714286,0,0.15666094911377926
AnsweringMachine.jpg,2.3220847276178658,thermostat,0.3888888888888889,0,0.2898799313893653
Apple_Candy.jpg,1.8380267541624737,candy apple,0.5555555555555556,1,0.4585477415666095
Apple_RedAndGreen.jpg,0.18717625687320832,apple,0.9714285714285714,0,0.985134362492853
Aquarium.jpg,1.4226581667171694,aquarium,0.47058823529411764,1,0.6180674671240709
Arch_Triomphe.jpg,2.6016094970590276,arch,0.35,1,0.20411663807890223
Arch.jpg,2.2810361125534233,archway,0.4444444444444444,1,0.3013150371640938
Archery_Arrows.jpg,2.2844763510411217,arrows,0.38095238095238093,1,0.30017152658662094
Archery_ArrowsBows.jpg,1.3372449392958772,bow and arrow,0.7368421052631579,1,0.642652944539737
Arm.jpg,0.6990299627722347,arm,0.8823529411764706,1,0.8490566037735849
Armchair.jpg,0.6841377134594485,chair,0.8857142857142857,0,0.851915380217267
Artichoke.jpg,1.9400726873486536,artichoke,0.5925925925925926,1,0.42481417953116063
Ashtray_Cigarettes.jpg,1.2577148214953864,ashtray,0.7647058823529411,0,0.6695254431103488
Ashtray_Empty.jpg,0.6990299627722347,ashtray,0.8823529411764706,0,0.8490566037735849
Asparagus.jpg,0.390452130813207,asparagus,0.9393939393939394,1,0.9256718124642653
Autocreeper.jpg,3.8924071185928764,na,0.15789473684210525,0,0.005145797598627766
Avocado.jpg,0.45502065977946426,avocado,0.9259259259259259,1,0.9125214408233276
Awning.jpg,2.6961990498148554,awning,0.4117647058823529,1,0.17724413950829043
Axe.jpg,0.3095434291503252,axe,0.9444444444444444,1,0.9668381932532876
BabyMonitor.jpg,2.1406064599010723,baby monitor,0.47368421052631576,1,0.34991423670668953
Backhoe.jpg,2.7702834614222898,back hoe,0.3181818181818182,1,0.16009148084619784
Backpack_Suitcase.jpg,2.8464393446710154,backpack,0.3,0,0.14236706689536882
Backpack_Travel.jpg,1.386274093895968,backpack,0.7222222222222222,0,0.6306460834762722
