stimulus,memorability,scaled_memory_hits,score_emotional,sd_emotional,score_humanmade,sd_humanmade,score_outdoors,sd_outdoors,score_shoebox,sd_shoebox,humanmade_pass,outdoors_pass,shoebox_pass,humanmade_response,outdoors_response,shoebox_response,scaled_emotional,h_index,modal_response,proportion_response,unique,scaled_name
Piano_Upright.jpg,0.116042545,0.879221523,1.202638418,1.722234669,1,0,0,0,0,0,1,1,1,human-made,indoors,larger than a shoebox,0.962264151,0.26231122,piano,0.955555556,1,0.971412236
Triangle.jpg,-0.002523735,0.466514024,-0.354080531,0.576243898,1,0,0.142857143,0.377964473,0.625,0.51754917,1,1,0,human-made,indoors,NA,0.298456261,1.080118738,triangle,0.806451613,0,0.738707833
Garbage_GreenBin.jpg,-0.109022503,0.142530052,-0.517059229,0.314853299,0.9,0.316227766,0.875,0.353553391,0,0,1,1,1,human-made,outdoors,larger than a shoebox,0.156660949,2.634989959,trash can,0.352941176,0,0.192681532
DogFood.jpg,0.040187862,0.639381797,-0.419621293,0.289024863,1,0,0.142857143,0.377964473,0.625,0.51754917,1,1,0,human-made,indoors,NA,0.241852487,2.186204325,dog food,0.575757576,1,0.337907376
Lamp_TableWhite.jpg,-0.206120333,0.029765312,-0.624116487,0.284368932,1,0,0,0,0.5,0.534522484,1,1,0,human-made,indoors,NA,0.091480846,0,lamp,1,0,1
Statue_Jesus.jpg,-0.004839225,0.457355467,0.227741995,1.120514033,1,0,0.833333333,0.40824829,0,0,1,1,1,human-made,outdoors,larger than a shoebox,0.708404803,2.023265224,statue,0.542857143,0,0.393939394
MilkJug.jpg,0.050154795,0.673726388,-0.339934343,0.995528161,1,0,0.375,0.51754917,0.25,0.46291005,1,0,0,human-made,NA,NA,0.310463122,3.001629167,milk jug,0.333333333,0,0.103487707
Seashell_AlternateTellin.jpg,0.102931398,0.843159702,-0.293039592,0.721806476,0.3,0.483045892,0.875,0.353553391,1,0,0,1,1,NA,outdoors,smaller than a shoebox,0.351057747,2.032487689,shell,0.48,0,0.389937107
TowerEiffel.jpg,0.021031835,0.565540927,0.643387061,1.193158988,1,0,1,0,0,0,1,1,1,human-made,outdoors,larger than a shoebox,0.869068039,0.803071727,eiffel tower,0.833333333,1,0.819897084
Hat_Sheriff.jpg,-0.077102963,0.207784774,0.130385995,0.708512275,1,0,0.375,0.51754917,0.285714286,0.487950036,1,0,0,human-made,NA,NA,0.647226987,1.208830175,hat,0.52173913,0,0.691823899
Cheque.jpg,0.161717376,0.956496852,-0.743527112,0.450007127,1,0,0,0,1,0,1,1,1,human-made,indoors,smaller than a shoebox,0.03030303,1.220728902,check,0.714285714,1,0.689536878
Sign_HumpBridgeAhead.jpg,-0.185149048,0.041785919,-0.622105104,0.553251694,1,0,1,0,0.285714286,0.487950036,1,1,0,human-made,outdoors,NA,0.092624357,2.496479375,sign,0.538461538,0,0.236134934
Stick_IceHockey.jpg,-0.058289945,0.263880939,-0.115568828,0.55870279,1,0,0.76,0.435889894,0.142857143,0.377964473,1,0,1,human-made,NA,larger than a shoebox,0.497998856,0.297472249,hockey stick,0.947368421,0,0.968553459
Carousel copy.jpg,0.184518314,0.982827705,0.234067367,0.895914293,1,0,0.25,0.46291005,0.6,0.547722558,1,0,0,human-made,NA,NA,0.711835334,2.437065832,carousel,0.368421053,0,0.257861635
Partition.jpg,-0.093428308,0.166571265,0.323038022,0.792931637,1,0,0.375,0.51754917,0.166666667,0.40824829,1,0,1,human-made,NA,larger than a shoebox,0.765008576,2.92779897,divider,0.380952381,0,0.121212121
Toy_BlocksPlastic Colourful.jpg,0.10931782,0.863766457,0.105837993,0.781786997,1,0,0.25,0.46291005,0.857142857,0.377964473,1,0,1,human-made,NA,smaller than a shoebox,0.636935392,2.161541933,blocks,0.56,0,0.341337907
Rag.jpg,0.082029681,0.786491128,-0.589506963,0.580096057,1,0,0.125,0.353553391,0.875,0.353553391,1,1,1,human-made,indoors,smaller than a shoebox,0.10806175,2.629219687,towel,0.272727273,0,0.195540309
Dolly.jpg,-0.110171442,0.140240412,-0.567385234,0.322745174,1,0,0.666666667,0.516397779,0.142857143,0.377964473,1,0,1,human-made,NA,larger than a shoebox,0.130360206,2.139835524,dolly,0.578947368,1,0.353344768
Bagel.jpg,0.00592011,0.498568975,0.544527469,1.284212898,1,0,0.125,0.353553391,0.8,0.421637021,1,1,0,human-made,indoors,NA,0.844482561,1.352030102,bagel,0.692307692,1,0.636363636
CartonEggs.jpg,0.199445153,0.993131082,-0.461820136,1.278137176,0,0,0.285714286,0.487950036,1,0,1,0,1,natural,NA,smaller than a shoebox,0.213836478,0.699029963,eggs,0.882352941,1,0.849056604
Sandwich_Ham.jpg,-0.031262918,0.356038924,0.514349805,1.019129481,0.777777778,0.440958552,0.083333333,0.282329851,0.625,0.51754917,0,1,0,NA,indoors,NA,0.831903945,0.755418029,sandwich,0.880952381,0,0.833619211
TireRims.jpg,-0.249503196,0.014882656,0.37969368,0.955413676,1,0,0.5,0.547722558,0,0,1,0,1,human-made,NA,larger than a shoebox,0.79130932,2.879664005,rim,0.363636364,0,0.136649514
Box_Staples.jpg,0.002895803,0.485975959,-0.58794988,0.642144757,1,0,0.222222222,0.440958552,1,0,1,0,1,human-made,NA,smaller than a shoebox,0.10920526,0.714653245,staples,0.878787879,0,0.84219554
Man.jpg,0.074689725,0.762449914,-0.520552674,0.618938458,0.666666667,0.5,0,0,0.1,0.316227766,0,1,1,NA,indoors,larger than a shoebox,0.155517439,1.199101836,man,0.75862069,1,0.698113208
Toy_StackingRing.jpg,-0.075377302,0.216370922,-0.17988391,0.635351328,1,0,0.142857143,0.377964473,0.428571429,0.534522484,1,1,0,human-made,indoors,NA,0.441966838,2.88418372,toy,0.2,0,0.133790738
Faucet.jpg,0.064474376,0.720663995,-0.729176182,0.958272179,1,0,0.6,0.547722558,1,0,1,0,1,human-made,NA,smaller than a shoebox,0.034305317,1.940623791,faucet,0.517241379,0,0.424242424
StreetSweeper.jpg,-0.307444959,0.002862049,-0.237897026,0.753992483,1,0,0.833333333,0.40824829,0.166666667,0.40824829,1,1,1,human-made,outdoors,larger than a shoebox,0.386506575,1.919240705,street sweeper,0.55,1,0.432246998
Machine_Bread.jpg,-0.119777681,0.122495707,-0.172169896,0.857490632,1,0,0.130434783,0.344350222,0.166666667,0.40824829,1,1,1,human-made,indoors,larger than a shoebox,0.447112636,2.825845934,bread maker,0.315789474,1,0.144654088
Milkshake_StrawberryStraw.jpg,0.164309864,0.959358901,1.862996186,0.695813809,1,0,0.285714286,0.487950036,1,0,1,0,1,human-made,NA,smaller than a shoebox,0.991995426,1.791667484,milkshake,0.611111111,0,0.477987421
Mitt_Blue.jpg,0.057070138,0.693188323,0.007847253,0.977407619,1,0,0.75,0.46291005,1,0,1,0,1,human-made,NA,smaller than a shoebox,0.577472842,1.05853744,mitten,0.742857143,1,0.742138365
Toy_Helicopter.jpg,0.029939759,0.59416142,0.376317341,0.840394911,1,0,0.285714286,0.487950036,0.625,0.51754917,1,0,0,human-made,NA,NA,0.789022298,1.433662454,helicopter,0.6,0,0.613493425
WaterColorPaintset.jpg,0.005534718,0.496279336,-0.093522205,0.853879324,1,0,0,0,0.857142857,0.377964473,1,1,1,human-made,indoors,smaller than a shoebox,0.51572327,2.032944021,paints,0.391304348,1,0.389365352
Arch.jpg,0.078219986,0.775042931,0.118085869,0.716432405,1,0,0.875,0.353553391,0,0,1,1,1,human-made,outdoors,larger than a shoebox,0.642652945,2.281036113,archway,0.444444444,1,0.301315037
Pear_Yellow.jpg,-0.012225811,0.424728105,-0.306840491,0.600945087,0.285714286,0.487950036,0.5,0.547722558,0.875,0.353553391,0,0,1,NA,NA,smaller than a shoebox,0.335620354,0,pear,1,0,1
Licorice.jpg,0.148316459,0.943331425,-0.322601088,0.81821401,0.888888889,0.333333333,0.142857143,0.377964473,0.888888889,0.333333333,1,1,1,human-made,indoors,smaller than a shoebox,0.322469983,1.594185958,licorice,0.68,1,0.546026301
Jar_Capers.jpg,0.051957937,0.678305667,-0.004276708,0.773620329,0.888888889,0.333333333,0.285714286,0.487950036,0.625,0.51754917,1,0,0,human-made,NA,NA,0.572898799,2.767795485,jar,0.296296296,0,0.161234991
Rock_Agate.jpg,0.139480503,0.932455638,1.185446049,1.436338885,0.222222222,0.440958552,0.571428571,0.534522484,0.857142857,0.377964473,0,0,1,NA,NA,smaller than a shoebox,0.95997713,2.313100666,rock,0.363636364,0,0.292738708
Ship_Model.jpg,0.046047427,0.661133371,0.683440115,0.811745512,1,0,0.444444444,0.527046277,0.125,0.353553391,1,0,1,human-made,NA,larger than a shoebox,0.882218411,2.411849733,ship,0.451612903,0,0.264722699
Tube_Glue.jpg,-0.081091865,0.195764167,-0.453995801,0.523251985,1,0,0.285714286,0.487950036,1,0,1,0,1,human-made,NA,smaller than a shoebox,0.221269297,1.601478861,glue,0.689655172,1,0.542024014
NailPolish.jpg,0.179055531,0.975958786,-0.364003398,0.437360594,0.9,0.316227766,0,0,1,0,1,1,1,human-made,indoors,smaller than a shoebox,0.288164666,0.809091078,nail polish,0.857142857,1,0.817610063
Pillow_Plaid.jpg,-0.121301104,0.120778477,0.16434483,0.768867569,1,0,0.038461538,0.196116135,0.125,0.353553391,1,1,1,human-made,indoors,larger than a shoebox,0.666094911,0.322756959,pillow,0.941176471,1,0.956546598
Barrel_Upright.jpg,0.208238902,0.995993131,-0.797611318,0.150638112,1,0,0.8,0.447213595,0,0,1,0,1,human-made,NA,larger than a shoebox,0.023441967,0.61800386,barrel,0.882352941,0,0.865637507
Noisemaker_Streamers.jpg,-0.150225789,0.0755581,0.324032795,1.067717551,1,0,0,0,0.571428571,0.534522484,1,1,0,human-made,indoors,NA,0.765580332,3.321928095,na,0.2,0,0.048027444
Bird_Parrot.jpg,0.129834798,0.914710933,0.883047077,1.427405991,0,0,0.833333333,0.40824829,0.75,0.46291005,1,1,0,natural,outdoors,NA,0.91995426,0.91977589,parrot,0.835443038,1,0.78273299
Pillow_Heart.jpg,0.080036316,0.781339439,0.951225317,1.247764427,1,0,0.222222222,0.440958552,0.875,0.353553391,1,0,1,human-made,NA,smaller than a shoebox,0.93081761,1.476842121,heart pillow,0.692307692,1,0.598627787
Bucket_WoodenLight.jpg,0.009189518,0.509444762,-0.154695256,0.69385082,1,0,0.592592593,0.500711744,0.142857143,0.377964473,1,0,1,human-made,NA,larger than a shoebox,0.463693539,2.495461844,bucket,0.45,0,0.237278445
Mailbox_Community.jpg,-0.077887829,0.205495135,0.146366029,1.300305875,1,0,0.285714286,0.487950036,0.25,0.46291005,1,0,0,human-made,NA,NA,0.655231561,1.939236536,mailbox,0.52,0,0.425385935
Autocreeper.jpg,-0.089777747,0.175157413,-0.203673255,0.823792887,1,0,0.142857143,0.377964473,0.571428571,0.534522484,1,1,0,human-made,indoors,NA,0.419096627,3.892407119,na,0.157894737,0,0.005145798
Oyster.jpg,0.191221878,0.988551803,-0.033456094,1.196486725,0.444444444,0.527046277,0.714285714,0.487950036,0.875,0.353553391,0,0,1,NA,NA,smaller than a shoebox,0.552315609,2.582059911,oyster,0.368421053,1,0.210405946
PagodaModel.jpg,-0.06856084,0.233543217,0.350111242,0.781005135,1,0,0.25,0.46291005,0.428571429,0.534522484,1,0,0,human-made,NA,NA,0.778158948,3.023037066,house,0.380952381,0,0.094339623
Shoes_WomenBoots.jpg,0.117766657,0.885518031,0.545962575,1.907298259,1,0,0.333333333,0.516397779,0.555555556,0.527046277,1,0,0,human-made,NA,NA,0.845054317,1.899721832,boots,0.6,0,0.440251572
Tripod.jpg,0.145278706,0.938752147,-0.601813367,0.356481926,1,0,0.571428571,0.534522484,0.142857143,0.377964473,1,0,1,human-made,NA,larger than a shoebox,0.102344197,0.200622324,tripod,0.96875,1,0.975986278
Bellows.jpg,-0.212350638,0.027475673,-0.257929585,0.520159342,1,0,0.428571429,0.534522484,0.555555556,0.527046277,1,0,0,human-made,NA,NA,0.371640938,3.614369446,bellows,0.222222222,1,0.020011435
Bone.jpg,0.190855999,0.986834574,-0.720478476,0.20163018,0,0,0.571428571,0.534522484,1,0,1,0,1,natural,NA,smaller than a shoebox,0.044025157,0.826243757,bone,0.852941176,0,0.815323042
Toy_Shark.jpg,-0.038963185,0.326846022,0.064058189,0.786744695,1,0,0.625,0.51754917,0.666666667,0.516397779,1,0,0,human-made,NA,NA,0.610634648,1.986426729,toy shark,0.388888889,1,0.40651801
Boots_Hiking.jpg,-0.007777755,0.44361763,-0.111126909,0.766989685,1,0,0.777777778,0.440958552,0.625,0.51754917,1,0,0,human-made,NA,NA,0.500285878,2.127608684,shoes,0.382352941,0,0.360205832
CoolingFan_Engine2.jpg,-0.091806498,0.170578134,-0.628545105,0.49649445,1,0,0.428571429,0.534522484,1,0,1,0,1,human-made,NA,smaller than a shoebox,0.090909091,2.757405811,na,0.28,0,0.162378502
Chair_Deck.jpg,-0.136804342,0.091585575,-0.474626968,0.468234577,1,0,0.714285714,0.487950036,0,0,1,0,1,human-made,NA,larger than a shoebox,0.201829617,2.03202132,beach chair,0.5,1,0.390508862
Rope_Manila.jpg,-0.013267394,0.417286777,-0.325685424,0.818617794,1,0,0.72,0.458257569,0.666666667,0.516397779,1,0,0,human-made,NA,NA,0.320754717,0.179256067,rope,0.972972973,1,0.993138937
Tray_Metal.jpg,-0.017365963,0.404121351,-0.295328102,1.07283607,1,0,0.125,0.337831962,0.5,0.547722558,1,1,0,human-made,indoors,NA,0.348198971,2.157851253,platter,0.413793103,1,0.343053173
Toolbox_Old.jpg,-0.085193847,0.18660561,-0.342370961,1.370128271,1,0,0.714285714,0.487950036,0.166666667,0.40824829,1,0,1,human-made,NA,larger than a shoebox,0.309319611,0.994563753,toolbox,0.827586207,0,0.76329331
